date,mineral,Flow,Quantity,Volume
2018-01-01,Copper, export,17988944.0,21.05
2018-01-01,Copper, import,132623287.0,525.65
2018-01-01,Graphite, export,12126.0,0.13
2018-01-01,Graphite, import,450456.0,0.59
2018-01-01,Lithium, export,273979.0,1.28
2018-01-01,Lithium, import,22778922.0,62.93
2018-02-01,Copper, export,3060129.0,4.1
2018-02-01,Copper, import,170002728.0,392.71000000000004
2018-02-01,Graphite, export,64595.0,0.04
2018-02-01,Graphite, import,1829005.0,0.95
2018-02-01,Lithium, export,110329.0,0.19999999999999998
2018-02-01,Lithium, import,24363756.0,70.55000000000001
2018-03-01,Copper, export,1547865.0,5.97
2018-03-01,Copper, import,94999500.0,353.16
2018-03-01,Graphite, export,26348.0,0.04
2018-03-01,Graphite, import,1660609.0,0.77
2018-03-01,Lithium, export,938752.0,1.9800000000000002
2018-03-01,Lithium, import,31721284.0,98.7
2018-04-01,Copper, export,17322176.0,20.869999999999997
2018-04-01,Copper, import,102705469.0,382.51
2018-04-01,Graphite, export,15.0,0.0
2018-04-01,Graphite, import,848950.0,1.47
2018-04-01,Lithium, export,30703.0,0.42
2018-04-01,Lithium, import,25052220.0,103.08999999999999
2018-05-01,Copper, export,1157916.0,3.84
2018-05-01,Copper, import,36764147.0,102.44999999999999
2018-05-01,Graphite, export,46125.0,0.04
2018-05-01,Graphite, import,1971552.0,1.34
2018-05-01,Lithium, export,121850.0,0.45999999999999996
2018-05-01,Lithium, import,33720387.0,119.76
2018-06-01,Copper, export,15836827.0,19.96
2018-06-01,Copper, import,89270900.0,218.33
2018-06-01,Graphite, export,261.0,0.0
2018-06-01,Graphite, import,2591462.0,1.47
2018-06-01,Lithium, export,117595.0,0.65
2018-06-01,Lithium, import,32306693.0,108.66
2018-07-01,Copper, export,1519599.0,3.67
2018-07-01,Copper, import,140030882.0,301.72
2018-07-01,Graphite, export,2707.0,0.02
2018-07-01,Graphite, import,1395227.0,1.69
2018-07-01,Lithium, export,128360.0,1.22
2018-07-01,Lithium, import,51100803.0,121.14000000000001
2018-08-01,Copper, export,1465381.0,5.22
2018-08-01,Copper, import,46908840.0,119.47
2018-08-01,Graphite, export,35100.0,0.02
2018-08-01,Graphite, import,1856595.0,1.22
